表号,行号,专业,序号,项目编码,项目名称,单位,工程数量,综合单价,合价
15,3,电气设备安装工程,1,011713001001,灯具拆除,件,45,8,360
15,4,电气设备安装工程,2,011713001002,灯具拆除,件,1,150,150
15,5,电气设备安装工程,3,011713001003,灯具拆除,件,1,150,150
15,6,电气设备安装工程,4,011713001004,灯具拆除,件,10,10,100
15,7,电气设备安装工程,5,011713001005,灯具拆除,件,14,8,112
15,10,电气设备安装工程,6,030402012001,成套配电箱,台,1,1200,1200
16,2,电气设备安装工程,7,030402012002,成套配电箱,台,1,800,800
16,3,电气设备安装工程,8,030402012003,成套配电箱,台,1,800,800
16,4,电气设备安装工程,9,030402012004,成套配电箱,台,1,600,600
16,5,电气设备安装工程,10,030402012005,成套配电箱,台,1,600,600
17,2,电气设备安装工程,11,030402012006,成套配电箱,台,1,800,800
17,3,电气设备安装工程,12,030402012007,成套配电箱,台,1,700,700
17,4,电气设备安装工程,13,030402012008,成套配电箱,台,1,800,800
17,5,电气设备安装工程,14,030402012009,成套配电箱,台,1,800,800
18,2,电气设备安装工程,15,030402012010,成套配电箱,台,1,200,200
18,3,电气设备安装工程,16,030402012011,成套配电箱,台,1,700,700
18,5,电气设备安装工程,17,030409016001,桥架槽盒安装,m,60.95,29,1767.55
18,6,电气设备安装工程,18,030409016002,桥架槽盒安装,m,34.23,22,753.06
18,7,电气设备安装工程,19,030409017001,桥架支撑架,t,0.049,3000,147
18,8,电气设备安装工程,20,030409017002,桥架支撑架,t,0.021,3000,63
19,2,电气设备安装工程,21,030409001001,电力电缆,m,24.93,45,1121.85
19,3,电气设备安装工程,22,030409002001,电力电缆头,个,2,135,270
19,4,电气设备安装工程,23,030409001002,电力电缆,m,42.66,35,1493.1
19,5,电气设备安装工程,24,030409002002,电力电缆头,个,2,135,270
19,6,电气设备安装工程,25,030409001003,电力电缆,m,145.81,30,4374.3
19,7,电气设备安装工程,26,030409002003,电力电缆头,个,6,130,780
20,2,电气设备安装工程,27,030409001004,电力电缆,m,105.64,25,2641
20,3,电气设备安装工程,28,030409002004,电力电缆头,个,16,80,1280
20,4,电气设备安装工程,29,030409001005,电力电缆,m,125.62,12,1507.44
20,5,电气设备安装工程,30,030409002005,电力电缆头,个,6,30,180
20,6,电气设备安装工程,31,030409003001,控制电缆,m,58.02,6,348.12
20,7,电气设备安装工程,32,030409004001,控制电缆头,个,12,25,300
21,2,电气设备安装工程,33,030409003002,控制电缆,m,40.85,4,163.4
21,3,电气设备安装工程,34,030409004002,控制电缆头,个,8,15,120
21,5,电气设备安装工程,35,030412001001,配管,m,0.49,120,58.8
21,6,电气设备安装工程,36,030412001002,配管,m,2.45,120,294
21,7,电气设备安装工程,37,030412001003,配管,m,2.51,65,163.15
21,8,电气设备安装工程,38,030412001004,配管,m,76.63,65,4980.95
22,2,电气设备安装工程,39,030412001005,配管,m,15.4,45,693
22,3,电气设备安装工程,40,030412001006,配管,m,28.9,45,1300.5
22,4,电气设备安装工程,41,030412001007,配管,m,18.5,29,536.5
22,5,电气设备安装工程,42,030412001008,配管,m,38.35,29,1112.15
22,6,电气设备安装工程,43,030412001009,配管,m,17.63,24,423.12
22,7,电气设备安装工程,44,030412001010,配管,m,31,24,744
23,2,电气设备安装工程,45,030412001011,配管,m,719.17,18,12945.06
23,3,电气设备安装工程,46,030412001012,配管,m,588.08,18,10585.44
23,4,电气设备安装工程,47,030412003001,配线,m,2319.38,2.6,6030.39
23,5,电气设备安装工程,48,030412003002,配线,m,236.88,2.6,615.89
23,6,电气设备安装工程,49,030412003003,配线,m,1650.71,2.8,4621.99
23,7,电气设备安装工程,50,030412003004,配线,m,258.83,2.8,724.72
24,2,电气设备安装工程,51,030412003005,配线,m,57.77,3.2,184.86
24,3,电气设备安装工程,52,030412003006,配线,m,52.61,3.2,168.35
24,4,电气设备安装工程,53,030412003007,配线,m,60.09,3.2,192.29
24,5,电气设备安装工程,54,031301001001,剔堵槽、沟,m,619.95,8,4959.6
24,7,电气设备安装工程,55,030413001001,普通灯具,套,49,35,1715
25,2,电气设备安装工程,56,030413001002,普通灯具,套,1,35,35
25,3,电气设备安装工程,57,030413001003,普通灯具,套,19,35,665
25,4,电气设备安装工程,58,030413002001,装饰灯,套,17,35,595
25,5,电气设备安装工程,59,030413002002,装饰灯,套,14,30,420
26,2,电气设备安装工程,60,030413012001,开关、按钮,套,9,8,72
26,3,电气设备安装工程,61,030413012002,开关、按钮,套,13,8,104
26,4,电气设备安装工程,62,030413012003,开关、按钮,套,2,8,16
26,5,电气设备安装工程,63,030413013001,插座,套,52,8,416
26,6,电气设备安装工程,64,030413013002,插座,套,7,8,56
27,2,电气设备安装工程,65,030405015001,风扇,台,16,35,560
27,3,电气设备安装工程,66,030412005001,接线盒,个,214,6,1284
27,4,电气设备安装工程,67,030412005002,接线盒,个,31,6,186
30,7,给排水工程,3,031001006001,塑料管,m,28.7,35,1004.5
30,8,给排水工程,4,031001006002,塑料管,m,20.64,30,619.2
31,2,给排水工程,5,031001006003,塑料管,m,3.82,28,106.96
31,3,给排水工程,6,031001006004,塑料管,m,15.16,25,379
31,4,给排水工程,7,031001006005,塑料管,m,4.3,25,107.5
32,2,给排水工程,8,031001006006,塑料管,m,15.23,18,274.14
32,3,给排水工程,9,031001006007,塑料管,m,23.67,17,402.39
32,4,给排水工程,10,031001006008,塑料管,m,154,17,2618
32,5,给排水工程,11,031002001001,阀门,个,2,15,30
33,2,给排水工程,12,031002001002,阀门,个,1,35,35
33,6,给排水工程,16,031003006001,大便器,组,2,120,240
33,7,给排水工程,17,031003016001,水龙头,个,18,35,630
34,4,给排水工程,19,031001006009,塑料管,m,20.5,35,717.5
